Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_34_557.jpg;0;0;1;0;99.66999;85.58904;0.000234347;50.65241;1.447511E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_34_621.jpg;0;0;0;0;99.66999;85.58904;0.000234347;50.65241;1.447511E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_34_687.jpg;0;0;0;0;99.66999;85.58904;0.000234347;50.65241;1.447511E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_34_757.jpg;0;0;0;0;99.66999;85.58904;0.000234347;50.65241;1.447511E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_34_824.jpg;0;0;0;0;99.66999;85.58904;0.000234347;50.65241;1.447511E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_34_892.jpg;0;0;0;0;99.66999;85.58904;0.000234347;50.65241;1.447511E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_34_957.jpg;0;0;0;0;99.66999;85.58904;0.000234347;50.65241;1.447511E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_025.jpg;0;0;0;0;99.66999;85.58904;0.000234347;50.65241;1.447511E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_091.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_157.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_224.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_292.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_353.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_426.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_490.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_560.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_623.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_691.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_754.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_824.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_893.jpg;0;0;0;0;99.66999;85.58904;0.0002343829;50.65241;1.347023E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_35_959.jpg;0;0.09790471;0;0;99.66969;85.58868;359.989;50.66512;3.72046E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_023.jpg;0;0;0.2997847;0.02705562;99.67026;85.58938;0.008586858;50.66603;-4.859381E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_088.jpg;0;0;0.4868972;0;99.67025;85.58939;0.007684295;50.66603;-9.991194E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_155.jpg;0;0;0.6882129;0;99.67024;85.5894;0.006703991;50.66602;-1.514135E-05
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_224.jpg;0;0;0.8874238;0;99.67026;85.58941;0.005318155;50.66603;-2.022001E-05
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_291.jpg;0;0;1;0;99.67027;85.58942;0.004250985;50.66603;-2.332275E-05
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_354.jpg;0;0;1;0;99.67028;85.58943;0.00318351;50.66603;-2.557121E-05
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_421.jpg;0;0;1;0;99.6703;85.58944;0.001796499;50.66604;-2.704618E-05
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_488.jpg;0;0;1;0;99.67028;85.58945;0.0008067571;50.66604;-2.735277E-05
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_558.jpg;-1.606811;0;1;0;99.67027;85.58946;-0.0004159048;50.66604;-2.443213E-05
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_626.jpg;-4.635633;0;1;0;99.67026;85.58948;-0.001242362;50.66605;-1.324357E-05
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_693.jpg;-7.63336;0;1;0;99.67025;85.58946;-0.001978929;50.66605;-2.737818E-06
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_758.jpg;-10.68583;0;1;0;99.67024;85.58945;-0.002806878;50.66607;8.912929E-07
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_826.jpg;-13.67728;0;1;0;99.67023;85.58945;-0.003306343;50.66607;-1.050844E-05
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_893.jpg;-15;0;0;0;99.67023;85.58944;-0.003695094;49.76609;-0.0001106858
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_36_960.jpg;0;0;0;0;99.67023;85.58944;-0.004069629;49.76609;-0.0002008751
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_026.jpg;0;0;0;0;99.67023;85.58943;-0.004231027;49.76609;-0.0002579469
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_092.jpg;0;0;0;0;99.67023;85.58943;-0.004295263;49.76609;-0.0003044339
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_159.jpg;0;0;0;0;99.67023;85.58943;-0.004239435;49.76609;-0.0003510417
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_227.jpg;0;0;0;0;99.67023;85.58943;-0.0041009;49.76609;-0.0003736629
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_293.jpg;0;0;0;0;99.67023;85.58944;-0.003889262;49.76609;-0.0003867269
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_361.jpg;0;0.1026834;0;0;99.67007;85.58926;359.991;49.76513;-0.0003912962
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_422.jpg;0;0.3041947;0;0.01994799;99.67078;85.59009;0.01479522;49.74793;-0.0004317531
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_491.jpg;-1.444428;0.4875846;0;0.01847307;99.67265;85.59228;0.07616671;49.6497;-0.0006134069
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_559.jpg;-4.59917;0.6979007;0;0.06729432;99.67816;85.59834;0.2426742;49.65939;359.9933
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_625.jpg;-7.638711;0.9005368;0;0.1031479;99.68477;85.60538;0.4223195;49.4793;359.9887
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_692.jpg;-10.57898;1;0;0.1512859;99.69388;85.61481;0.6370758;49.32304;-0.001374287
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_759.jpg;-13.60825;1;0;0.202692;99.71033;85.63031;0.9574255;49.03537;0.001227124
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_830.jpg;-15;1;0;0.2669893;99.72606;85.64455;1.218498;48.70098;0.000971574
C:\python_notebooks\robotics_nanodegree\rover_data\RoboND-Rover-Project\code\IMG\robocam_2018_04_01_18_07_37_891.jpg;-15;1;0;0.2948292;99.74195;85.65813;1.324507;48.1868;0.001791109
